epoch,train_loss,val_loss,val_iou,val_f1,lr
1,0.703982315434369,0.707099978876586,0.16483889013627182,0.27062776350345547,0.001
2,0.6618999325203131,0.7031751263259661,0.14207187789206457,0.2416266608159534,0.001
3,0.6486717885803481,0.6604081384419608,0.18430340973654202,0.3002020792894238,0.001
4,0.6405226460325663,0.6664238458025967,0.15382986680509234,0.25964065919024715,0.001
5,0.6348850477244041,0.6663493854377923,0.15296025055371495,0.25908176050131076,0.001
6,0.6306002733301335,0.6485401793281631,0.18960118264254958,0.3071849255671989,0.001
7,0.6269150490506673,0.6461734547473417,0.1798918791631661,0.29508640963842375,0.001
8,0.6244077880819539,0.6410368120316232,0.18667460146910286,0.3043353773973169,0.001
9,0.6220863705321873,0.6773050354652279,0.20746733051518795,0.3280423191120916,0.001
10,0.6202129206942447,0.6526681507381276,0.20592243403884838,0.3276237994924237,0.001
11,0.6183939236593539,0.642468009844865,0.19621607990744877,0.31652508671134216,0.001
12,0.6169720041824838,0.6524486073566349,0.1848433944750147,0.30177390536065934,0.001
13,0.6123765788577983,0.6348140576098225,0.1964123788053053,0.3170853832570633,0.0005
14,0.6113650429193004,0.63414998455803,0.19621015027804736,0.31713794147220775,0.0005
15,0.6106414929284524,0.6418864447684964,0.20369256201750374,0.3258582432769706,0.0005
16,0.6102003660784121,0.6403590863687371,0.20320035030346106,0.32543825960592077,0.0005
17,0.609676357199058,0.6378535191611489,0.20508026211175195,0.3279333140688761,0.0005
18,0.6091030734367494,0.6405933560317892,0.20497673813856082,0.3278202038786986,0.0005
19,0.6066702281909321,0.6321296217811383,0.20154503710789257,0.3235877445428678,0.00025
20,0.6064021447213983,0.6313751617280563,0.19854200117462145,0.3200894980245691,0.00025
